Timestamp,Kanye dataset
1/28/2018 20:33,The Life of Pablo
1/29/2018 10:17,808s & Heartbreak
1/29/2018 10:45,College Dropout
1/29/2018 14:56,808s & Heartbreak
1/29/2018 18:16,808s & Heartbreak
1/29/2018 18:16,College Dropout
1/30/2018 18:05,College Dropout
1/30/2018 18:08,Late Registration
1/31/2018 8:14,808s & Heartbreak
1/31/2018 9:08,College Dropout
1/31/2018 9:12,My Beautiful Dark Twisted Fantasy
1/31/2018 15:39,My Beautiful Dark Twisted Fantasy
1/31/2018 15:55,Graduation
1/31/2018 16:24,Yeezus
1/31/2018 17:36,Yeezus
2/1/2018 10:58,Yeezus
2/1/2018 11:40,The Life of Pablo
2/1/2018 14:41,My Beautiful Dark Twisted Fantasy
2/1/2018 14:41,Graduation
2/1/2018 14:46,The Life of Pablo
2/2/2018 11:23,Yeezus
2/2/2018 11:23,Yeezus
2/2/2018 11:39,Yeezus
2/2/2018 13:52,Yeezus
2/2/2018 14:35,808s & Heartbreak
2/2/2018 20:39,Yeezus
2/2/2018 20:40,Graduation
2/4/2018 17:28,Graduation
2/6/2018 10:30,Late Registration
2/6/2018 16:25,Yeezus
2/7/2018 8:44,Yeezus
2/7/2018 8:45,808s & Heartbreak
2/7/2018 15:02,The Life of Pablo
2/7/2018 15:02,Late Registration
2/7/2018 15:32,808s & Heartbreak
2/7/2018 20:43,Graduation
2/7/2018 20:43,808s & Heartbreak
2/11/2018 9:23,Graduation
2/14/2018 12:42,808s & Heartbreak
2/14/2018 16:16,Yeezus
2/15/2018 13:40,Late Registration
2/20/2018 8:46,808s & Heartbreak
2/26/2018 21:04,808s & Heartbreak
2/28/2018 9:24,808s & Heartbreak
2/28/2018 16:54,The Life of Pablo
3/1/2018 8:34,College Dropout
3/1/2018 8:51,808s & Heartbreak
3/5/2018 11:33,Yeezus
3/5/2018 11:33,808s & Heartbreak
3/5/2018 14:23,808s & Heartbreak
3/9/2018 9:35,The Life of Pablo
3/9/2018 13:31,808s & Heartbreak
3/11/2018 14:58,Graduation
3/11/2018 16:58,My Beautiful Dark Twisted Fantasy
3/12/2018 10:12,College Dropout
3/13/2018 10:06,Yeezus
3/16/2018 16:11,College Dropout
3/23/2018 15:02,Yeezus
3/23/2018 15:02,The Life of Pablo
3/26/2018 11:29,808s & Heartbreak
3/26/2018 11:29,808s & Heartbreak
3/27/2018 20:25,808s & Heartbreak
3/29/2018 14:27,The Life of Pablo
3/29/2018 14:27,808s & Heartbreak
